177,WAAREERTL,INE299N01021,1029.8,19.4
178,NEXT50IETF,INF109KC1NS5,76.29,9
179,GOKEX,INE887G01027,876.85,22.96
180,GILLETTE,INE322A01010,7613.5,10.79
181,SHADOWFAX,INE12UN01015,230.48,12.55
182,MOTILALOFS,INE338I01027,956.9,17.81
183,ZAGGLE,INE07K301024,211.9,23.71
184,SGBOCT27,IN0020190370,14195,10
185,JSWSTEEL,INE019A01038,1223.8,9.85
186,TDPOWERSYS,INE419M01027,1191,20.33
187,BAJAJHLDNG,INE118A01012,10858,12.26
188,TTML,INE517B01013,43.07,18.69
189,IOLCP,INE485C01029,150.31,19.91
190,M&MFIN,INE774D01024,318,14.82
191,MOM30IETF,INF109KC17C7,31.29,9
192,KNRCON,INE634I01029,132.13,16.29
193,EIEL,INE0LLY01014,228.43,20.7
194,IFCI,INE039A01010,76.81,24.18
195,MOBIKWIK,INE0HLU01028,205.42,20.54
196,RAIN,INE855B01025,188.85,20.88
197,IRFC,INE053F01010,90.83,14.08
198,STYLAMIND,INE239C01020,3266.8,14.83
199,WIPRO,INE075A01022,174,10.81
200,TATATECH,INE142M01025,712.4,12.33
201,ATUL,INE100A01010,6469.5,10.63
202,NEWGEN,INE619B01017,480.9,22.45
203,NIACL,INE470Y01017,187.68,19.3
204,INTERARCH,INE00M901018,1909.2,17.96
205,DIVISLAB,INE361B01024,6682.5,9.36
206,ASTERDM,INE914M01019,790.95,12.58
207,SHARDACROP,INE221J01015,890.75,23.64
208,KPIGREEN,INE542W01025,402.55,18.76
209,SGBAPR28I,IN0020200062,14306.28,10
210,SWSOLAR,INE00M201021,246.97,19.33
211,ABSLAMC,INE404A01024,1191.3,15.25
212,BANKBEES,INF204KB15I9,600.07,9
213,SGBAUG29V,IN0020210129,14252.85,10
214,SBISILVER,INF200KB1217,221.77,22.49
215,TRENT,INE849A01020,3317.8,14.49
216,EBBETF0430,INF754K01KO2,1610.54,9
217,MFSL,INE180A01020,1618.3,10.77
218,MID150CASE,INF0R8F01059,11.5,9
219,FINCABLES,INE235A01022,1129.8,17.05
220,URBANCO,INE0CAZ01013,131.89,13.97
221,PVRINOX,INE191H01014,985.4,11.64
222,TATACHEM,INE092A01019,688.75,12.33
223,KAJARIACER,INE217B01036,1204,12.48
224,SILVERBEES,INF204KC1402,216.28,22.26
225,APLLTD,INE901L01018,818.3,12.71
226,JSWDULUX,INE133A01011,3259.7,12.34
227,CAPLIPOINT,INE475E01026,2538.2,14.95
228,SGBNV29VII,IN0020210178,14250.33,10
229,MOMENTUM50,INF247L01DK8,53.13,9
230,POLYCAB,INE455K01017,9635,13.41
231,BSOFT,INE836A01035,281.9,15.27
232,AJANTPHARM,INE031B01049,3345.3,11.87
233,PVTBANIETF,INF109KC18U7,28.51,9
234,ONESOURCE,INE013P01021,1687.6,17.19
