Sr no,Security,Series,Outstanding Quantity at the end of the day
740,VARROC,X7,9
741,VBL,X7,20
742,VBL,X8,6750
743,VEDL,X7,2370957
744,VEDL,X8,413776
745,VIJAYA,X7,1985
746,VIKRAMSOLR,X7,200
747,VIKRAMSOLR,X8,4020
748,VIKRAMSOLR,X9,5980
749,VIKRAMSOLR,XO,1009
750,VINATIORGA,X7,24
751,VMM,X7,9039
752,VOLTAMP,X7,5
753,VOLTAS,X4,1
754,VOLTAS,X5,8445
755,VOLTAS,X6,1330
756,VOLTAS,X7,1515966
757,VOLTAS,X8,651555
758,WAAREEENER,X7,27704
759,WAAREEENER,X8,605140
760,WABAG,X7,1
761,WEBELSOLAR,X7,944
762,WEBELSOLAR,X8,590
763,WELCORP,X7,285
764,WELENT,X7,91
765,WELSPUNLIV,X7,115837
766,WHIRLPOOL,X7,59
767,WIPRO,X4,56
768,WIPRO,X7,21144652
769,WIPRO,X8,97927649
770,WIPRO,X9,119299
771,WOCKPHARMA,X7,551
772,YESBANK,X7,540
773,ZAGGLE,X7,2
774,ZYDUSLIFE,X7,3060
775,ZYDUSLIFE,X8,10
776,ZYDUSWELL,X7,61
