Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,02072026,1980061622,0003156
Trade Date <02-JUL-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,506,AVONMORE,EQ,140560,128828,91.65
20,507,AVPINFRA,SM,28800,22400,77.78
20,508,AVROIND,EQ,139861,80103,57.27
20,509,AVTNPL,EQ,81602,49828,61.06
20,510,AWFIS,EQ,276836,113429,40.97
20,511,AWHCL,EQ,62297,39032,62.65
20,512,AWL,EQ,16363736,7770890,47.49
20,513,AXISBANK,EQ,4013561,2013440,50.17
20,514,AXISBNKETF,EQ,4628,1670,36.08
20,515,AXISCADES,EQ,194472,101125,52.00
20,516,AXISCETF,EQ,5431,5142,94.68
20,517,AXISGOLD,EQ,3083737,2024783,65.66
20,518,AXISHCETF,EQ,9410,7000,74.39
20,519,AXISILVER,EQ,579482,336548,58.08
20,520,AXISNIFTY,EQ,5373,3735,69.51
20,521,AXISTECETF,EQ,6734,5069,75.27
20,522,AXISVALUE,EQ,40911,32717,79.97
20,523,AXITA,EQ,184484,105742,57.32
20,524,AXSENSEX,EQ,887,848,95.60
20,525,AYE,EQ,1784901,662002,37.09
20,526,AYMSYNTEX,EQ,275969,91223,33.06
20,527,AZAD,EQ,189873,89818,47.30
20,528,BAGFILMS,EQ,65470,51497,78.66
20,529,BAGMANE,RR,1010460,941403,93.17
20,530,BAHETI,SM,20625,13125,63.64
20,531,BAIDFIN,EQ,40281,32723,81.24
20,532,BAJAJ-AUTO,EQ,423525,216966,51.23
20,533,BAJAJCON,EQ,513462,235585,45.88
20,534,BAJAJELEC,EQ,154026,56928,36.96
20,535,BAJAJFINSV,EQ,1786876,767372,42.94
20,536,BAJAJHCARE,EQ,354705,97198,27.40
20,537,BAJAJHFL,EQ,3118742,1631915,52.33
20,538,BAJAJHIND,EQ,5490697,2346474,42.74
20,539,BAJAJHLDNG,EQ,46088,27002,58.59
20,540,BAJAJINDEF,EQ,22559,13717,60.81
20,541,BAJAJST,EQ,11963,6813,56.95
20,542,BAJEL,EQ,105063,51196,48.73
20,543,BAJFINANCE,EQ,8168339,4485878,54.92
20,544,BALAJEE,EQ,167659,159214,94.96
20,545,BALAJIPHOS,SM,2000,2000,100.00
20,546,BALAJITELE,EQ,88497,52777,59.64
20,547,BALAMINES,EQ,669196,170626,25.50
20,548,BALKRISHNA,EQ,16009,14182,88.59
20,549,BALKRISIND,EQ,102898,42615,41.41
20,550,BALMLAWRIE,EQ,94476,49941,52.86
20,551,BALPHARMA,EQ,38065,25565,67.16
